name,BRI,gri,g'r'i'
SDSS-II SN 19203,False,False,True
SNLS-05D2ac,False,True,False
SN2002ha,True,False,False
SDSS-II SN 13122,False,False,True
SDSS-II SN 21698,False,False,True
SDSS-II SN 20284,False,False,True
SDSS-II SN 13729,False,False,True
SN1991T,True,False,False
SDSS-II SN 15168,False,False,True
SDSS-II SN 12940,False,False,True
SNLS-05D4be,False,True,False
DES17X2bef,False,True,False
SDSS-II SN 18227,False,False,True
SDSS-II SN 18128,False,False,True
SDSS-II SN 19568,False,False,True
SN2003K,True,False,False
SDSS-II SN 2149,False,False,True
PS1-10j,False,True,False
SDSS-II SN 6556,False,False,True
SDSS-II SN 18848,False,False,True
SN1998bu,True,False,False
SDSS-II SN 17695,False,False,True
SN1999bp,True,False,False
SDSS-II SN 1784,False,False,True
SDSS-II SN 19394,False,False,True
SDSS-II SN 16219,False,False,True
SDSS-II SN 20410,False,False,True
SDSS-II SN 18287,False,False,True
SDSS-II SN 19487,False,False,True
SDSS-II SN 12075,False,False,True
SDSS-II SN 16637,False,False,True
SDSS-II SN 17317,False,False,True
SDSS-II SN 18328,False,False,True
Gaia16aug,True,False,False
SDSS-II SN 19761,False,False,True
SDSS-II SN 2361,False,False,True
SDSS-II SN 15655,False,False,True
SDSS-II SN 21321,False,False,True
SDSS-II SN 21013,False,False,True
SDSS-II SN 18582,False,False,True
SN2005fk,False,False,True
ASASSN-15mf,False,True,False
SDSS-II SN 10524,False,False,True
SDSS-II SN 14809,False,False,True
SDSS-II SN 19578,False,False,True
SDSS-II SN 14148,False,False,True
SNLS-05D4fe,False,True,False
SDSS-II SN 4534,False,False,True
SDSS-II SN 19722,False,False,True
SN2006ql,False,False,True
SN2006kn,False,False,True
SN1997by,True,False,False
SDSS-II SN 7067,False,False,True
SN2006kc,False,False,True
SDSS-II SN 5159,False,False,True
SDSS-II SN 20337,False,False,True
SDSS-II SN 10928,False,False,True
SDSS-II SN 15486,False,False,True
SDSS-II SN 21780,False,False,True
SDSS-II SN 8561,False,False,True
SN2003gd,True,False,False
SDSS-II SN 18988,False,False,True
SDSS-II SN 9155,False,False,True
SDSS-II SN 1622,False,False,True
SDSS-II SN 14308,False,False,True
PS1-13abg,False,True,False
SN2007ri,False,False,True
SDSS-II SN 15388,False,False,True
SDSS-II SN 1742,False,False,True
SN2007tr,False,False,True
SDSS-II SN 19495,False,False,True
Gaia16ahz,False,True,False
SN2007or,False,False,True
SDSS-II SN 21027,False,False,True
SDSS-II SN 5641,False,False,True
SDSS-II SN 21490,False,False,True
SDSS-II SN 19497,False,False,True
SN1999ek,True,False,False
SDSS-II SN 18780,False,False,True
SN2005ap,True,False,False
SDSS-II SN 20610,False,False,True
SDSS-II SN 5449,False,False,True
SNLS-04D4jy,False,True,False
SDSS-II SN 15654,False,False,True
SDSS-II SN 14883,False,False,True
SDSS-II SN 4304,False,False,True
SN2007rz,False,True,False
SN2007mm,False,True,True
SN2014cy,False,True,False
SDSS-II SN 3050,False,False,True
SN2016afk,False,True,False
SDSS-II SN 2837,False,False,True
SDSS-II SN 21386,False,False,True
SDSS-II SN 1378,False,False,True
SDSS-II SN 17296,False,False,True
SDSS-II SN 13304,False,False,True
SDSS-II SN 20748,False,False,True
SDSS-II SN 15970,False,False,True
SDSS-II SN 6491,False,False,True
PS1-12bqf,False,True,False
SDSS-II SN 3908,False,False,True
SDSS-II SN 14708,False,False,True
SN2005gv,False,False,True
SDSS-II SN 20104,False,False,True
SDSS-II SN 1198,False,False,True
iPTF13ehe,False,True,False
SDSS-II SN 17597,False,False,True
SN2005ja,False,False,True
SDSS-II SN 10324,False,False,True
Gaia16afb,True,False,False
SNLS-05D3kx,False,True,False
SN2005if,False,False,True
SDSS-II SN 20334,False,False,True
SDSS-II SN 15975,False,False,True
SDSS-II SN 18393,False,False,True
SDSS-II SN 4619,False,False,True
SDSS-II SN 12074,False,False,True
SN2005jc,False,False,True
SDSS-II SN 4866,False,False,True
SN2008gc,False,True,False
SDSS-II SN 17303,False,False,True
SN2016hjk,False,True,False
SDSS-II SN 14516,False,False,True
SN2002hd,True,False,False
SDSS-II SN 20380,False,False,True
SNLS-03D1bk,False,True,False
SDSS-II SN 10450,False,False,True
SDSS-II SN 18015,False,False,True
SDSS-II SN 14982,False,False,True
SDSS-II SN 1706,False,False,True
SDSS-II SN 17339,False,False,True
SN2006ev,False,True,False
SN2007rn,False,False,True
SDSS-II SN 14231,False,False,True
SDSS-II SN 20591,False,False,True
SDSS-II SN 8086,False,False,True
SDSS-II SN 15651,False,False,True
SDSS-II SN 18023,False,False,True
SDSS-II SN 21555,False,False,True
SN2005is,False,False,True
SDSS-II SN 4906,False,False,True
SDSS-II SN 22078,False,False,True
PS1-1000004,False,True,False
SDSS-II SN 17618,False,False,True
SDSS-II SN 20130,False,False,True
SN2005cc,True,False,False
SDSS-II SN 5715,False,False,True
SDSS-II SN 20399,False,False,True
SN2006lm,False,False,True
SN2016blj,False,True,False
SN2016idy,False,True,False
SDSS-II SN 13964,False,False,True
SN2006ej,True,True,False
SDSS-II SN 17675,False,False,True
SDSS-II SN 21657,False,False,True
SN2016blc,False,True,False
SDSS-II SN 14384,False,False,True
SN2007ux,True,False,False
SDSS-II SN 21444,False,False,True
SDSS-II SN 11585,False,False,True
SDSS-II SN 13657,False,False,True
SDSS-II SN 18967,False,False,True
SDSS-II SN 14053,False,False,True
SDSS-II SN 3077,False,False,True
SDSS-II SN 5786,False,False,True
SN2002er,True,False,False
SDSS-II SN 16984,False,False,True
SDSS-II SN 16079,False,False,True
SN2001dc,True,False,False
SN2001ie,True,False,False
SN2007mu,False,False,True
SN2002bo,True,False,False
SN2007jj,False,False,True
SDSS-II SN 19350,False,False,True
SN2007ij,False,False,True
SDSS-II SN 14570,False,False,True
SDSS-II SN 1387,False,False,True
SDSS-II SN 17728,False,False,True
SDSS-II SN 20926,False,False,True
SNLS-03D1bp,False,True,False
SN2006fx,False,False,True
SDSS-II SN 15097,False,False,True
SN2001V,True,False,False
